% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-34.164,-280.75,-148.24,-9.9076,55.347,-7.4122,-11.23,0.85027,1206.4
-10.471,-227.82,-73.513,-3.0366,59.052,-3.6756,-9.1129,0.87849,978.93
0.58034,-209.03,-14.992,0.1683,60.368,-0.74959,-8.361,0.88852,898.16
-7.08,-145.97,2.0886,-2.0532,64.782,0.10443,-5.839,0.92215,627.23
15.204,-245.66,-46.707,4.4092,57.804,-2.3353,-9.8265,0.86898,1055.6
0.584,-176.74,2.3675,0.16936,62.628,0.11837,-7.0696,0.90574,759.43
-25.719,-232.3,-131.92,-7.4585,58.739,-6.5959,-9.2918,0.87611,998.15
-21.304,-268.24,-238.2,-6.1782,56.223,-11.91,-10.73,0.85694,1152.6
-9.5683,-235.29,-115.77,-2.7748,58.53,-5.7886,-9.4116,0.87451,1011
1.6485,-158,-14.689,0.47807,63.94,-0.73444,-6.3199,0.91573,678.9
-26.332,-258.47,-174.74,-7.6363,56.907,-8.7369,-10.339,0.86215,1110.6
13.481,-283.51,-85.131,3.9094,55.155,-4.2566,-11.34,0.8488,1218.2
-1.8656,-185.17,-72.206,-0.54102,62.038,-3.6103,-7.4067,0.90124,795.64
19.744,-288.53,-6.3665,5.7258,54.803,-0.31833,-11.541,0.84612,1239.8
19.439,-207.8,18.017,5.6372,60.454,0.90083,-8.3121,0.88917,892.9
16.114,-195.03,8.6948,4.6731,61.348,0.43474,-7.8012,0.89598,838.03
-17.948,-215.33,-66.506,-5.205,59.927,-3.3253,-8.6132,0.88516,925.25
-78.813,-699.17,-311.56,-22.856,26.058,-15.578,-27.967,0.62711,3004.2
10.715,-190.92,57.601,3.1074,61.636,2.8801,-7.6367,0.89818,820.35
3.5906,-231.31,-133.75,1.0413,58.809,-6.6875,-9.2522,0.87664,993.9
-9.0691,-181.79,-59.142,-2.63,62.274,-2.9571,-7.2717,0.90304,781.15
-0.057602,-319.43,-68.246,-0.016704,52.64,-3.4123,-12.777,0.82964,1372.6
-11.044,-166.26,-11.668,-3.2029,63.362,-0.58338,-6.6504,0.91133,714.41
8.6697,-239.41,-35.942,2.5142,58.242,-1.7971,-9.5762,0.87232,1028.7
23.428,-225.1,78.862,6.7942,59.243,3.9431,-9.0039,0.87995,967.23
15.835,-203.91,-6.971,4.5921,60.726,-0.34855,-8.1564,0.89125,876.18
9.2047,-208.27,-30.449,2.6694,60.421,-1.5224,-8.3306,0.88892,894.9
-8.084,-166.42,-32.357,-2.3444,63.351,-1.6179,-6.6567,0.91124,715.08
1.7823,-328.13,-31.891,0.51688,52.031,-1.5945,-13.125,0.825,1409.9
-12.497,-339.82,-172.25,-3.6242,51.213,-8.6124,-13.593,0.81876,1460.2
2.7746,-195.74,1.1177,0.80464,61.298,0.055885,-7.8294,0.89561,841.06
-8.8562,-240.07,-37.91,-2.5683,58.195,-1.8955,-9.6027,0.87196,1031.5
12.361,-220.24,7.1753,3.5848,59.583,0.35877,-8.8096,0.88254,946.35
13.919,-272.11,91.119,4.0366,55.952,4.5559,-10.884,0.85488,1169.2
-6.1106,-191.16,-101.8,-1.7721,61.619,-5.0899,-7.6465,0.89805,821.41
8.5346,-244.43,-49.192,2.475,57.89,-2.4596,-9.7771,0.86964,1050.3
-12.947,-164.76,-16.146,-3.7547,63.467,-0.80732,-6.5903,0.91213,707.95
-19.058,-228.58,-300.26,-5.5268,58.999,-15.013,-9.1433,0.87809,982.2
11.462,-206.8,2.1705,3.3241,60.524,0.10852,-8.2721,0.88971,888.6
22.768,-238.03,-30.962,6.6028,58.338,-1.5481,-9.5213,0.87305,1022.8
-6.2583,-414.16,-256.4,-1.8149,46.009,-12.82,-16.567,0.77911,1779.6
-13.389,-206.98,-183.16,-3.8827,60.511,-9.1581,-8.2793,0.88961,889.38
-1.4676,-180.61,12.488,-0.4256,62.358,0.62438,-7.2242,0.90368,776.04
-9.1745,-338.67,-76.565,-2.6606,51.293,-3.8282,-13.547,0.81938,1455.2
-12.115,-236.35,-26.098,-3.5135,58.456,-1.3049,-9.4538,0.87395,1015.6
-5.1666,-157.58,-32.793,-1.4983,63.969,-1.6397,-6.3034,0.91595,677.13
13.79,-211.87,43.793,3.999,60.169,2.1897,-8.4748,0.887,910.38
8.3877,-239.87,-29.95,2.4324,58.209,-1.4975,-9.5948,0.87207,1030.7
-6.9092,-152.84,-57.413,-2.0037,64.301,-2.8707,-6.1137,0.91848,656.75
6.1942,-240.02,-14.526,1.7963,58.199,-0.72629,-9.6008,0.87199,1031.3
9.412,-209.7,-6.0002,2.7295,60.321,-0.30001,-8.3882,0.88816,901.08
-16,-186.42,-142.57,-4.64,61.951,-7.1286,-7.4567,0.90058,801.02
5.5196,-231.22,25.432,1.6007,58.814,1.2716,-9.2489,0.87668,993.54
-16.379,-266.56,-48.432,-4.75,56.341,-2.4216,-10.662,0.85783,1145.4
-26.458,-261.94,-190.2,-7.6729,56.664,-9.5098,-10.478,0.8603,1125.5
27.175,-235.98,1.8097,7.8806,58.482,0.090483,-9.4391,0.87415,1014
2.3242,-186.37,0.96843,0.67403,61.954,0.048422,-7.4548,0.9006,800.82
11.144,-268.29,4.055,3.2318,56.22,0.20275,-10.732,0.85691,1152.8
-4.4622,-203.73,11.431,-1.294,60.739,0.57157,-8.1492,0.89134,875.41
-2.6737,-266.38,-70.016,-0.77536,56.354,-3.5008,-10.655,0.85793,1144.6
13.763,-241.11,-110.57,3.9911,58.123,-5.5287,-9.6443,0.87141,1036
-18.052,-182.82,-149.66,-5.2351,62.202,-7.4829,-7.313,0.90249,785.58
-18.957,-378.74,-47.188,-5.4975,48.488,-2.3594,-15.15,0.79801,1627.4
-12.029,-228.33,-50.519,-3.4884,59.017,-2.526,-9.1332,0.87822,981.11
-6.1302,-341.78,-51.683,-1.7777,51.076,-2.5841,-13.671,0.81772,1468.6
10.196,-249.15,70.038,2.9567,57.56,3.5019,-9.9659,0.86712,1070.6
-5.4992,-336.66,-22.144,-1.5948,51.434,-1.1072,-13.466,0.82045,1446.6
8.2957,-244.17,7.7049,2.4058,57.908,0.38525,-9.7666,0.86978,1049.2
-2.6293,-454.67,-403.36,-0.76249,43.173,-20.168,-18.187,0.75751,1953.7
7.8862,-245.87,-117.47,2.287,57.789,-5.8733,-9.8348,0.86887,1056.5
11.112,-310.56,-74.641,3.2225,53.261,-3.7321,-12.422,0.83437,1334.4
-24.081,-239.14,-48.59,-6.9835,58.26,-2.4295,-9.5655,0.87246,1027.6
-3.7314,-154.83,-90.323,-1.0821,64.162,-4.5161,-6.193,0.91743,665.27
-4.2282,-190.32,-11.963,-1.2262,61.678,-0.59814,-7.6126,0.8985,817.77
-3.9856,-172.22,11.191,-1.1558,62.945,0.55955,-6.8887,0.90815,740
0.72637,-193.14,-28.473,0.21065,61.481,-1.4237,-7.7254,0.89699,829.88
15.152,-337.79,-74.477,4.3942,51.355,-3.7239,-13.511,0.81985,1451.4
-31.826,-210.33,-90.104,-9.2294,60.277,-4.5052,-8.4133,0.88782,903.77
12.165,-231.48,-11.56,3.5279,58.796,-0.57801,-9.2592,0.87654,994.64
23.264,-184.16,-38.029,6.7466,62.109,-1.9014,-7.3664,0.90178,791.32
-17.734,-165.03,-75.152,-5.1428,63.448,-3.7576,-6.6012,0.91198,709.11
-11.73,-229.59,-16.679,-3.4017,58.929,-0.83396,-9.1835,0.87755,986.52
-0.79985,-185.85,-6.3163,-0.23196,61.991,-0.31582,-7.4338,0.90088,798.56
-5.8623,-189.87,-15.991,-1.7001,61.709,-0.79956,-7.5949,0.89874,815.86
-24.863,-174.14,-59.437,-7.2101,62.81,-2.9718,-6.9656,0.90713,748.26
17.969,-223.09,-95.339,5.2109,59.383,-4.767,-8.9237,0.88102,958.61
20.148,-181.17,-59.067,5.8429,62.318,-2.9533,-7.2467,0.90338,778.46
18.69,-235.72,61.225,5.42,58.5,3.0613,-9.4288,0.87428,1012.9
-36.399,-229.6,-28.538,-10.556,58.928,-1.4269,-9.184,0.87755,986.57
-4.0899,-332.82,25.928,-1.1861,51.702,1.2964,-13.313,0.82249,1430.1
7.466,-172.38,-15.832,2.1651,62.933,-0.79159,-6.8952,0.90806,740.7
7.2991,-288.76,-3.3815,2.1167,54.787,-0.16908,-11.55,0.84599,1240.8
17.219,-542.4,24.76,4.9935,37.032,1.238,-21.696,0.71072,2330.6
-6.6492,-176.07,-67.092,-1.9283,62.675,-3.3546,-7.0429,0.90609,756.56
-0.32042,-184.02,-110.1,-0.092922,62.119,-5.5048,-7.3607,0.90186,790.7
-1.3005,-182.02,-85.624,-0.37715,62.259,-4.2812,-7.2807,0.90292,782.11
-10.692,-196.22,-125.73,-3.1007,61.265,-6.2866,-7.8488,0.89535,843.14
23.323,-214.81,-37.869,6.7636,59.963,-1.8935,-8.5923,0.88544,923.01
-10.028,-233.74,-47.848,-2.9082,58.638,-2.3924,-9.3495,0.87534,1004.3
3.5962,-225.67,-168.17,1.0429,59.203,-8.4084,-9.0267,0.87964,969.67
5.4319,-220.04,0.22064,1.5752,59.597,0.011032,-8.8017,0.88264,945.5
1.7221,-238.24,-25.138,0.49942,58.323,-1.2569,-9.5295,0.87294,1023.7
1.5156,-664.46,-540.67,0.43953,28.488,-27.034,-26.579,0.64562,2855.1
-28.617,-434.41,18.509,-8.2988,44.591,0.92546,-17.376,0.76831,1866.6
-1.3624,-249.06,83.431,-0.3951,57.566,4.1715,-9.9624,0.86717,1070.2
0.83856,-244.75,-18.374,0.24318,57.867,-0.91869,-9.7902,0.86946,1051.7
-1.118,-197.66,-62.624,-0.32422,61.164,-3.1312,-7.9065,0.89458,849.33
14.754,-150.7,-44.809,4.2787,64.451,-2.2404,-6.0281,0.91962,647.56
-0.84467,-389.39,-62.112,-0.24495,47.742,-3.1056,-15.576,0.79232,1673.2
14.586,-199.26,-2.0273,4.23,61.052,-0.10137,-7.9705,0.89373,856.21
23.521,-239.05,-8.0081,6.821,58.266,-0.4004,-9.5621,0.8725,1027.2
1.4944,-181.61,57.547,0.43336,62.287,2.8774,-7.2644,0.90314,780.36
15.317,-149.77,-12.51,4.442,64.516,-0.62548,-5.9907,0.92012,643.54
10.38,-277.91,-101.54,3.0103,55.546,-5.0772,-11.117,0.85178,1194.2
-0.87515,-187.61,-101.77,-0.25379,61.867,-5.0885,-7.5044,0.89994,806.14
9.5319,-192.99,-8.4309,2.7643,61.491,-0.42154,-7.7195,0.89707,829.25
