% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
69.201,-1510.1,-284.05,20.068,274.43,-14.203,-22.016,0.94208,6488.6
-31.445,-1458.3,-107.17,-9.119,278.05,-5.3587,-21.261,0.94407,6266.2
-114.62,-754.55,-289.17,-33.239,327.32,-14.458,-11.001,0.97106,3242.2
21.877,-1024.6,-41.704,6.3443,308.41,-2.0852,-14.938,0.9607,4402.6
-5.8484,-1192.1,-630.82,-1.696,296.69,-31.541,-17.38,0.95428,5122.3
5.8061,-939.12,96.967,1.6838,314.4,4.8483,-13.692,0.96398,4035.3
-205.55,-2212,-1684.3,-59.61,225.29,-84.213,-32.25,0.91516,9504.9
-49.11,-805.83,-537.32,-14.242,323.73,-26.866,-11.748,0.96909,3462.6
21.153,-797.12,-305.78,6.1343,324.34,-15.289,-11.621,0.96943,3425.1
-13.211,-1094.5,-237.84,-3.8312,303.52,-11.892,-15.956,0.95802,4702.8
164.14,-1950.4,-212.87,47.601,243.61,-10.644,-28.436,0.9252,8380.7
54.809,-1109.8,-226.57,15.894,302.45,-11.328,-16.18,0.95743,4768.8
-44.246,-1180.4,-222.4,-12.831,297.51,-11.12,-17.209,0.95473,5072
-90.72,-1565.4,-276.02,-26.309,270.56,-13.801,-22.822,0.93996,6726.3
-74.975,-2092.5,-445.22,-21.743,233.66,-22.261,-30.508,0.91975,8991.5
48.364,-1610.1,-93.234,14.026,267.43,-4.6617,-23.474,0.93825,6918.3
-102.3,-1262.7,-396.83,-29.667,291.75,-19.841,-18.409,0.95157,5425.7
-133.21,-1062,-525.5,-38.631,305.79,-26.275,-15.483,0.95927,4563.4
28.895,-1323.1,-706.86,8.3795,287.52,-35.343,-19.289,0.94926,5685.1
-76.816,-1111.7,212.97,-22.277,302.32,10.648,-16.207,0.95736,4776.7
30.71,-1172.1,-304.24,8.9059,298.09,-15.212,-17.088,0.95505,5036.4
-10.348,-751.02,-265.24,-3.0009,327.56,-13.262,-10.949,0.9712,3227.1
-74.537,-831.03,-405.5,-21.616,321.96,-20.275,-12.116,0.96813,3570.9
9.1031,-1275.8,-857.53,2.6399,290.83,-42.877,-18.601,0.95107,5482.2
20.279,-1037.4,-168.53,5.8809,307.52,-8.4266,-15.124,0.96021,4457.5
-62.485,-1335,-321.19,-18.121,286.69,-16.059,-19.463,0.9488,5736.2
166.81,-1122.4,26.952,48.374,301.56,1.3476,-16.364,0.95695,4823
29.141,-1719.7,-365.97,8.4509,259.75,-18.299,-25.072,0.93404,7389.5
3.9286,-1317.6,-427.58,1.1393,287.9,-21.379,-19.21,0.94946,5661.8
-28.921,-1005.5,-352.3,-8.3872,309.75,-17.615,-14.659,0.96144,4320.5
21.141,-931.76,-91.303,6.1308,314.91,-4.5652,-13.584,0.96426,4003.7
-27.203,-1152.7,-154.1,-7.8888,299.44,-7.7049,-16.806,0.95579,4953.2
-74.147,-1735.4,-1003.2,-21.503,258.66,-50.162,-25.301,0.93344,7456.8
-94.638,-867.53,-319.94,-27.445,319.41,-15.997,-12.648,0.96673,3727.7
-12.349,-1024.3,42.898,-3.5813,308.43,2.1449,-14.934,0.96071,4401.4
0.08349,-993.94,-440.15,0.024212,310.56,-22.007,-14.491,0.96188,4270.8
-25.199,-1141.4,-459.96,-7.3078,300.24,-22.998,-16.64,0.95623,4904.3
-72.495,-1545.6,-537.85,-21.024,271.94,-26.892,-22.534,0.94072,6641.4
-31.991,-923.34,-95.647,-9.2773,315.5,-4.7824,-13.462,0.96459,3967.5
-2.5591,-1030.7,400.67,-0.74214,307.99,20.033,-15.026,0.96047,4428.7
-23.751,-1055,-224.14,-6.8877,306.29,-11.207,-15.381,0.95954,4533.2
122.05,-1138.2,-123.37,35.395,300.46,-6.1685,-16.594,0.95635,4890.6
-108.23,-1190.5,-580.19,-31.386,296.8,-29.01,-17.356,0.95434,5115.4
67.378,-1149.5,-3.1986,19.54,299.67,-0.15993,-16.758,0.95592,4939.1
15.487,-1371.9,-178.34,4.4914,284.1,-8.9168,-20.001,0.94738,5894.9
72.963,-1218.7,-372.98,21.159,294.82,-18.649,-17.768,0.95326,5236.8
