% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
18.188,-685.39,-262.92,5.2745,278.88,-13.146,-11.24,0.96561,2945
-11.359,-941.05,-204.51,-3.2942,260.98,-10.225,-15.432,0.95278,4043.6
141.14,-1677,-183.03,40.929,209.46,-9.1517,-27.502,0.91586,7206
47.126,-954.27,-194.81,13.667,260.05,-9.7406,-15.649,0.95212,4100.4
-38.044,-1014.9,-191.22,-11.033,255.81,-9.5612,-16.644,0.94908,4361
-78.004,-1346,-237.33,-22.621,232.64,-11.867,-22.073,0.93247,5783.5
-64.466,-1799.2,-382.81,-18.695,200.91,-19.141,-29.506,0.90973,7731.1
41.585,-1384.4,-80.166,12.06,229.94,-4.0083,-22.703,0.93054,5948.6
-87.962,-1085.7,-341.2,-25.509,250.85,-17.06,-17.805,0.94553,4665.2
-114.54,-913.15,-451.84,-33.216,262.93,-22.592,-14.975,0.95418,3923.7
24.845,-1137.6,-607.78,7.2049,247.22,-30.389,-18.656,0.94292,4888.2
-66.049,-955.85,183.12,-19.154,259.94,9.1559,-15.675,0.95204,4107.2
26.405,-1007.8,-261.6,7.6576,256.31,-13.08,-16.527,0.94944,4330.4
-8.8976,-645.75,-228.06,-2.5803,281.65,-11.403,-10.59,0.9676,2774.7
-64.089,-714.55,-348.66,-18.586,276.83,-17.433,-11.718,0.96415,3070.3
7.8272,-1097,-737.34,2.2699,250.06,-36.867,-17.99,0.94496,4713.8
17.437,-891.97,-144.91,5.0566,264.41,-7.2455,-14.628,0.95525,3832.7
-53.727,-1147.8,-276.17,-15.581,246.5,-13.808,-18.823,0.94241,4932.1
143.43,-965.1,23.174,41.593,259.29,1.1587,-15.827,0.95158,4147
25.056,-1478.7,-314.67,7.2664,223.34,-15.734,-24.249,0.92581,6353.7
3.3779,-1133,-367.65,0.97959,247.55,-18.383,-18.579,0.94316,4868.2
-24.867,-864.56,-302.92,-7.2116,266.33,-15.146,-14.178,0.95662,3714.9
18.177,-801.16,-78.505,5.2714,270.77,-3.9253,-13.138,0.9598,3442.5
-23.39,-991.16,-132.5,-6.7831,257.47,-6.6249,-16.254,0.95027,4258.9
-63.754,-1492.1,-862.62,-18.489,222.4,-43.131,-24.47,0.92514,6411.6
-81.373,-745.93,-275.09,-23.598,274.64,-13.755,-12.233,0.96257,3205.2
-10.618,-880.74,36.885,-3.0793,265.2,1.8442,-14.443,0.95581,3784.4
0.071787,-854.62,-378.45,0.020818,267.03,-18.923,-14.015,0.95712,3672.2
-21.667,-981.37,-395.49,-6.2834,258.16,-19.774,-16.094,0.95076,4216.9
-62.334,-1329,-462.46,-18.077,233.82,-23.123,-21.794,0.93332,5710.5
-27.507,-793.92,-82.241,-7.9769,271.28,-4.112,-13.02,0.96017,3411.4
-2.2004,-886.21,344.51,-0.63812,264.82,17.225,-14.533,0.95554,3807.9
-20.422,-907.11,-192.73,-5.9223,263.35,-9.6363,-14.876,0.95449,3897.8
104.94,-978.64,-106.08,30.434,258.35,-5.3039,-16.049,0.9509,4205.1
-93.058,-1023.6,-498.87,-26.987,255.2,-24.943,-16.786,0.94864,4398.4
57.934,-988.33,-2.7503,16.801,257.67,-0.13751,-16.208,0.95041,4246.8
