% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-13.246,-661.48,-188.02,-3.8413,142.28,-9.4009,-16.045,0.91492,2842.3
-149.07,-993.31,-589.94,-43.229,119.05,-29.497,-24.094,0.87224,4268.2
-15.047,-488.6,-199.4,-4.3638,154.38,-9.9699,-11.852,0.93715,2099.5
32.395,-632.8,-326.46,9.3946,144.29,-16.323,-15.35,0.91861,2719.1
-16.061,-576.16,-204.62,-4.6577,148.25,-10.231,-13.976,0.92589,2475.7
29.425,-678.85,-276.95,8.5332,141.06,-13.847,-16.466,0.91268,2916.9
-27.497,-423.6,44.924,-7.9742,158.93,2.2462,-10.275,0.94551,1820.2
-62.312,-440.95,-140.87,-18.07,157.72,-7.0435,-10.696,0.94328,1894.7
104,-563.3,-36.722,30.159,149.15,-1.8361,-13.664,0.92755,2420.5
-16.621,-810.09,94.192,-4.82,131.88,4.7096,-19.65,0.8958,3480.9
-29.511,-554.68,-43.816,-8.5581,149.76,-2.1908,-13.454,0.92866,2383.4
-8.1742,-416.73,-213.9,-2.3705,159.41,-10.695,-10.108,0.9464,1790.6
-1.1178,-610.3,-227.13,-0.32415,145.86,-11.356,-14.804,0.9215,2622.4
17.984,-473.72,-10.258,5.2153,155.42,-0.51291,-11.491,0.93907,2035.5
-103.22,-641.15,-568.77,-29.935,143.7,-28.438,-15.552,0.91753,2754.9
15.422,-425.44,-45.095,4.4722,158.8,-2.2547,-10.32,0.94528,1828.1
-16.742,-527.98,-139.92,-4.8552,151.62,-6.9961,-12.807,0.93209,2268.7
15.268,-855.55,-217.7,4.4278,128.69,-10.885,-20.753,0.88996,3676.2
-81.561,-516.13,-211.03,-23.653,152.45,-10.552,-12.519,0.93361,2217.8
72.428,-454.35,-120.87,21.004,156.78,-6.0436,-11.021,0.94156,1952.3
-31.46,-640.99,-446.4,-9.1234,143.71,-22.32,-15.548,0.91755,2754.3
-10.678,-543.21,-136.83,-3.0966,150.56,-6.8416,-13.176,0.93013,2334.1
-38.651,-598.01,-324.94,-11.209,146.72,-16.247,-14.506,0.92308,2569.6
-13.283,-632.07,-146,-3.8522,144.34,-7.3001,-15.332,0.9187,2716
-55.853,-586.92,-233.52,-16.197,147.5,-11.676,-14.237,0.92451,2521.9
19.506,-531.72,-231.63,5.6568,151.36,-11.582,-12.898,0.93161,2284.7
-14.944,-501.4,-168.44,-4.3337,153.49,-8.4219,-12.162,0.93551,2154.5
27.653,-515.66,8.8113,8.0194,152.49,0.44056,-12.508,0.93367,2215.8
11.042,-479.3,-175.39,3.2021,155.03,-8.7696,-11.626,0.93835,2059.5
-47.16,-865.51,-206.16,-13.676,128,-10.308,-20.994,0.88867,3719
15.819,-506.38,10.943,4.5875,153.14,0.54716,-12.283,0.93487,2175.9
2.8613,-474.24,-144.29,0.82977,155.39,-7.2145,-11.503,0.939,2037.8
-0.68151,-791.54,-199.44,-0.19764,133.18,-9.9721,-19.2,0.89819,3401.1
-28.071,-398.23,-71.653,-8.1405,160.71,-3.5827,-9.6598,0.94878,1711.2
-47.69,-739.42,-413.9,-13.83,136.82,-20.695,-17.936,0.90489,3177.2
-32.744,-543.5,-315.87,-9.4959,150.54,-15.794,-13.183,0.93009,2335.4
17.954,-510.77,-281.43,5.2068,152.83,-14.072,-12.389,0.9343,2194.7
82.837,-482.27,-218.34,24.023,154.82,-10.917,-11.698,0.93797,2072.3
-53.297,-631.46,-175.97,-15.456,144.38,-8.7985,-15.317,0.91878,2713.3
-15.511,-473.45,-65.973,-4.4981,155.44,-3.2986,-11.484,0.9391,2034.3
-20.378,-669.23,-71.903,-5.9095,141.74,-3.5952,-16.233,0.91392,2875.6
117,-913.7,-764.92,33.931,124.62,-38.246,-22.163,0.88248,3926.1
-67.233,-466.37,-225.84,-19.498,155.94,-11.292,-11.312,0.94001,2003.9
-94.434,-875.26,-740.21,-27.386,127.31,-37.011,-21.231,0.88742,3760.9
-26.474,-552.74,-208.02,-7.6776,149.89,-10.401,-13.408,0.9289,2375.1
-23.846,-484.3,-500.26,-6.9153,154.68,-25.013,-11.747,0.93771,2081
3.0667,-572.79,-24.863,0.88934,148.49,-1.2432,-13.894,0.92633,2461.2
6.9101,-727.88,-180.61,2.0039,137.63,-9.0307,-17.656,0.90638,3127.6
11.942,-390.92,-50.414,3.4633,161.22,-2.5207,-9.4824,0.94972,1679.7
-12.808,-868.48,-144.6,-3.7144,127.79,-7.23,-21.066,0.88829,3731.8
19.108,-492.62,66.043,5.5415,154.1,3.3021,-11.949,0.93664,2116.7
