% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
83.263,-979.04,-128.72,24.146,296.34,-6.4358,-14.742,0.9596,4206.8
-47.409,-989.41,-510.73,-13.749,295.61,-25.536,-14.898,0.95917,4251.4
102.92,-974.86,-252.84,29.847,296.63,-12.642,-14.679,0.95977,4188.9
-24.151,-1091.2,-124.19,-7.0038,288.49,-6.2096,-16.431,0.95497,4688.8
66.423,-1449.4,-272.65,19.263,263.41,-13.632,-21.826,0.94018,6228.1
-30.182,-1399.7,-102.87,-8.7528,266.89,-5.1435,-21.077,0.94223,6014.5
-110.01,-724.25,-277.56,-31.904,314.17,-13.878,-10.906,0.97011,3112
20.998,-983.45,-40.029,6.0896,296.03,-2.0015,-14.809,0.95941,4225.8
-5.6136,-1144.2,-605.48,-1.6279,284.78,-30.274,-17.23,0.95278,4916.6
5.573,-901.41,93.073,1.6162,301.77,4.6537,-13.573,0.9628,3873.3
-197.3,-2123.2,-1616.6,-57.216,216.25,-80.831,-31.971,0.91238,9123.2
-47.138,-773.47,-515.74,-13.67,310.73,-25.787,-11.647,0.96808,3323.5
20.303,-765.11,-293.5,5.888,311.31,-14.675,-11.521,0.96842,3287.6
-12.68,-1050.5,-228.29,-3.6773,291.34,-11.415,-15.818,0.95665,4513.9
157.55,-1872.1,-204.32,45.69,233.82,-10.216,-28.19,0.92274,8044.2
52.608,-1065.3,-217.47,15.256,290.3,-10.874,-16.041,0.95604,4577.3
-42.469,-1133,-213.47,-12.316,285.56,-10.673,-17.06,0.95324,4868.3
-87.077,-1502.5,-264.94,-25.252,259.69,-13.247,-22.625,0.93799,6456.2
-71.964,-2008.5,-427.34,-20.87,224.27,-21.367,-30.244,0.91711,8630.4
46.422,-1545.4,-89.49,13.462,256.69,-4.4745,-23.271,0.93622,6640.5
-98.193,-1212,-380.89,-28.476,280.03,-19.045,-18.25,0.94998,5207.8
-127.86,-1019.4,-504.4,-37.079,293.51,-25.22,-15.35,0.95793,4380.1
27.734,-1269.9,-678.48,8.043,275.98,-33.924,-19.123,0.94759,5456.8
-73.731,-1067,204.42,-21.382,290.18,10.221,-16.067,0.95596,4584.9
29.477,-1125,-292.03,8.5483,286.12,-14.601,-16.941,0.95357,4834.1
-9.9325,-720.86,-254.59,-2.8804,314.41,-12.729,-10.855,0.97025,3097.5
-71.544,-797.66,-389.22,-20.748,309.03,-19.461,-12.011,0.96708,3427.5
8.7376,-1224.6,-823.1,2.5339,279.15,-41.155,-18.44,0.94946,5262
19.465,-995.73,-161.77,5.6448,295.17,-8.0883,-14.994,0.95891,4278.5
-59.976,-1281.3,-308.29,-17.393,275.18,-15.414,-19.294,0.94712,5505.8
160.11,-1077.4,25.87,46.431,289.46,1.2935,-16.223,0.95554,4629.3
27.971,-1650.7,-351.28,8.1116,249.32,-17.564,-24.856,0.93188,7092.8
3.7708,-1264.7,-410.41,1.0935,276.34,-20.521,-19.044,0.94781,5434.5
-27.76,-965.13,-338.15,-8.0504,297.31,-16.908,-14.533,0.96017,4147
20.292,-894.34,-87.637,5.8846,302.27,-4.3818,-13.467,0.96309,3842.9
-26.111,-1106.4,-147.91,-7.5721,287.42,-7.3955,-16.661,0.95434,4754.3
-71.17,-1665.7,-962.96,-20.639,248.27,-48.148,-25.082,0.93126,7157.3
-90.837,-832.69,-307.09,-26.343,306.58,-15.354,-12.539,0.96564,3578
-11.853,-983.18,41.175,-3.4375,296.05,2.0588,-14.805,0.95942,4224.6
0.080137,-954.02,-422.47,0.02324,298.09,-21.124,-14.366,0.96063,4099.3
-24.187,-1095.5,-441.49,-7.0143,288.18,-22.074,-16.496,0.95479,4707.4
-69.584,-1483.6,-516.25,-20.179,261.02,-25.813,-22.339,0.93877,6374.7
-30.706,-886.27,-91.806,-8.9048,302.83,-4.5903,-13.345,0.96342,3808.2
-2.4564,-989.29,384.58,-0.71234,295.62,19.229,-14.897,0.95917,4250.9
-22.797,-1012.6,-215.14,-6.6111,293.99,-10.757,-15.248,0.95821,4351.1
117.15,-1092.5,-118.42,33.974,288.4,-5.9208,-16.45,0.95491,4694.2
-103.88,-1142.7,-556.9,-30.126,284.88,-27.845,-17.206,0.95284,4910
64.672,-1103.3,-3.0702,18.755,287.64,-0.15351,-16.613,0.95447,4740.7
14.866,-1316.8,-171.17,4.311,272.69,-8.5587,-19.828,0.94566,5658.2
70.033,-1169.8,-358.01,20.31,282.99,-17.9,-17.615,0.95172,5026.5
109.46,-916.49,67.543,31.742,300.72,3.3772,-13.8,0.96218,3938.1
23.651,-806.52,41.072,6.8589,308.41,2.0536,-12.145,0.96672,3465.5
-24.01,-1193.3,-803.22,-6.9629,281.34,-40.161,-17.968,0.95075,5127.4
-10.723,-885.84,-289.48,-3.1096,302.86,-14.474,-13.339,0.96344,3806.4
-271.37,-1076.5,-736.86,-78.698,289.52,-36.843,-16.21,0.95557,4625.6
98.923,-1121.1,-361.61,28.688,286.39,-18.08,-16.882,0.95373,4817.4
22.746,-1184.7,-133.63,6.5962,281.94,-6.6817,-17.839,0.95111,5090.4
-2.8287,-804.48,-114.73,-0.82031,308.56,-5.7365,-12.114,0.9668,3456.8
-10.766,-1133.8,-430.22,-3.1223,285.5,-21.511,-17.073,0.95321,4871.9
-34.522,-1164.8,66.848,-10.011,283.33,3.3424,-17.54,0.95193,5005.2
8.9226,-918.28,62.573,2.5876,300.59,3.1287,-13.827,0.9621,3945.8
-140.88,-1030.5,-309.59,-40.855,292.74,-15.479,-15.517,0.95747,4427.9
-2.9365,-936.32,266.42,-0.85159,299.33,13.321,-14.099,0.96136,4023.3
41.435,-1824.5,-560.27,12.016,237.16,-28.014,-27.473,0.9247,7839.7
-2.655,-1033.2,-339.68,-0.76996,292.55,-16.984,-15.558,0.95736,4439.7
39.969,-1403.3,-60.984,11.591,266.64,-3.0492,-21.131,0.94209,6029.8
-28.936,-1534.1,-655.4,-8.3914,257.48,-32.77,-23.1,0.93669,6591.8
-96.445,-843.88,-251.83,-27.969,305.8,-12.592,-12.707,0.96517,3626.1
98.963,-853.2,20.497,28.699,305.15,1.0248,-12.847,0.96479,3666.1
13.777,-1056.2,-177.04,3.9953,290.94,-8.8518,-15.904,0.95641,4538.4
118.89,-777.06,149.24,34.477,310.48,7.462,-11.701,0.96793,3338.9
-50.663,-1005.8,-120.73,-14.692,294.46,-6.0363,-15.145,0.95849,4321.8
-148.27,-1185.8,-488.9,-42.997,281.87,-24.445,-17.855,0.95106,5095.1
52.844,-1106,-239.06,15.325,287.45,-11.953,-16.655,0.95435,4752.5
-49.246,-950.05,312.42,-14.281,298.37,15.621,-14.306,0.96079,4082.3
-51.453,-1926.6,-636.18,-14.921,230.01,-31.809,-29.011,0.92049,8278.5
-25.933,-911.49,-326.77,-7.5205,301.07,-16.338,-13.725,0.96238,3916.6
40.713,-956.71,-307.41,11.807,297.9,-15.37,-14.406,0.96052,4110.9
-0.068007,-956.29,-37.763,-0.019722,297.93,-1.8881,-14.4,0.96053,4109.1
