% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
4.4939,-462.49,31.515,1.3032,151.39,1.5757,-11.409,0.93792,1987.3
-70.953,-519,-155.92,-20.577,147.44,-7.7962,-12.803,0.93033,2230.1
-1.479,-471.58,134.18,-0.4289,150.76,6.709,-11.633,0.9367,2026.3
20.869,-918.91,-282.18,6.0519,119.44,-14.109,-22.668,0.87665,3948.5
-1.3372,-520.38,-171.08,-0.38779,147.34,-8.5541,-12.837,0.93015,2236
20.131,-706.77,-30.714,5.8379,134.29,-1.5357,-17.435,0.90513,3036.9
-14.573,-772.64,-330.09,-4.2263,129.68,-16.505,-19.06,0.89628,3320
-48.574,-425.02,-126.83,-14.087,154.02,-6.3417,-10.484,0.94295,1826.3
49.843,-429.71,10.323,14.454,153.69,0.51615,-10.6,0.94232,1846.4
6.9388,-531.96,-89.164,2.0122,146.53,-4.4582,-13.122,0.92859,2285.8
59.877,-391.36,75.164,17.364,156.37,3.7582,-9.6542,0.94746,1681.6
-25.516,-506.57,-60.803,-7.3998,148.31,-3.0402,-12.496,0.932,2176.7
-74.674,-597.21,-246.24,-21.655,141.96,-12.312,-14.732,0.91983,2566.1
26.615,-557.06,-120.4,7.7184,144.77,-6.0202,-13.742,0.92522,2393.6
-24.803,-478.49,157.35,-7.1927,150.27,7.8675,-11.804,0.93577,2056
-25.914,-970.34,-320.41,-7.5152,115.84,-16.021,-23.936,0.86975,4169.4
-13.061,-459.07,-164.58,-3.7877,151.63,-8.2289,-11.324,0.93838,1972.6
20.505,-481.85,-154.83,5.9464,150.04,-7.7413,-11.886,0.93532,2070.5
-0.034252,-481.64,-19.019,-0.009933,150.05,-0.95096,-11.881,0.93535,2069.5
53.283,-532.96,-3.7114,15.452,146.46,-0.18557,-13.147,0.92846,2290.1
-14.237,-567.22,-257.32,-4.1288,144.06,-12.866,-13.992,0.92386,2437.3
-59.15,-556.12,-238.21,-17.154,144.84,-11.911,-13.718,0.92535,2389.6
-29.019,-850.41,-319.43,-8.4155,124.24,-15.972,-20.978,0.88584,3654.1
