% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.49407,-14.479,-5.4385,-0.14328,2.1152,-0.27193,-0.98277,0.68589,62.214
-0.45458,-8.0815,-0.63409,-0.13183,2.5631,-0.031705,-0.54854,0.82468,34.725
-0.50705,-14.942,-8.6146,-0.14704,2.0828,-0.43073,-1.0142,0.67584,64.204
0.021148,-7.5416,-3.5541,0.006133,2.6008,-0.17771,-0.5119,0.83639,32.406
0.35693,-6.8979,-0.17584,0.10351,2.6459,-0.0087918,-0.4682,0.85036,29.639
0.36394,-6.9935,0.29018,0.10554,2.6392,0.014509,-0.47469,0.84828,30.05
-0.46513,-8.7025,0.69329,-0.13489,2.5196,0.034664,-0.59069,0.8112,37.394
0.0090283,-7.3294,-0.57219,0.0026182,2.6157,-0.02861,-0.49749,0.84099,31.493
0.42004,-6.4956,-0.028603,0.12181,2.6741,-0.0014302,-0.4409,0.85908,27.911
-0.25531,-8.1563,-3.3872,-0.074039,2.5578,-0.16936,-0.55362,0.82305,35.047
0.016481,-9.0221,-0.33383,0.0047794,2.4972,-0.016691,-0.61239,0.80427,38.767
0.20001,-6.6324,0.3097,0.058004,2.6645,0.015485,-0.45019,0.85611,28.499
-1.0278,-15.161,-3.5368,-0.29805,2.0675,-0.17684,-1.0291,0.67109,65.146
-0.37816,-11.928,-3.3829,-0.10967,2.2938,-0.16915,-0.80964,0.74123,51.254
0.85259,-8.5341,-7.6883,0.24725,2.5314,-0.38441,-0.57926,0.81486,36.67
0.059406,-8.6774,-1.5751,0.017228,2.5213,-0.078753,-0.58899,0.81175,37.286
-0.39057,-7.9473,-1.7521,-0.11326,2.5724,-0.087605,-0.53944,0.82759,34.149
-0.53938,-9.7152,-5.1355,-0.15642,2.4487,-0.25677,-0.65943,0.78924,41.745
0.88441,-7.3009,-0.091031,0.25648,2.6177,-0.0045516,-0.49556,0.84161,31.371
0.011473,-11.765,-4.1481,0.0033272,2.3052,-0.2074,-0.79859,0.74476,50.554
0.94678,-7.5271,-0.59149,0.27457,2.6019,-0.029575,-0.51091,0.83671,32.343
-0.44026,-6.3721,-1.2165,-0.12768,2.6827,-0.060826,-0.43252,0.86176,27.38
0.45038,-7.5661,-0.76937,0.13061,2.5991,-0.038469,-0.51356,0.83586,32.511
0.090508,-12.832,-1.1285,0.026247,2.2305,-0.056423,-0.87098,0.72162,55.137
-0.10539,-12.099,-1.0569,-0.030562,2.2819,-0.052846,-0.82121,0.73753,51.986
