% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-528.08,-4.7118e-14,0,367.12,0,0,-158.42,0.69856,6.3772e+07
-583.57,0,0,350.47,0,0,-175.07,0.66688,7.0474e+07
-554.25,-3.1412e-14,0,359.27,0,0,-166.27,0.68362,6.6933e+07
-477.71,-3.1412e-14,0,382.23,0,0,-143.31,0.72731,5.769e+07
-449.34,-1.5706e-14,0,390.74,0,0,-134.8,0.7435,5.4264e+07
-643.8,-1.5706e-14,0,332.41,0,0,-193.14,0.6325,7.7748e+07
-988.87,-1.5706e-14,0,228.89,0,0,-296.66,0.43552,1.1942e+08
-584.79,1.5706e-14,0,350.11,1.1869e-14,0,-175.44,0.66618,7.0622e+07
-555.99,0,0,358.75,0,0,-166.8,0.68262,6.7144e+07
-596.04,0,0,346.73,0,0,-178.81,0.65976,7.198e+07
-622.54,-3.1412e-14,0,338.78,0,0,-186.76,0.64463,7.518e+07
-516.71,-1.5706e-14,0,370.53,0,0,-155.01,0.70504,6.24e+07
-480.84,-1.5706e-14,0,381.29,0,0,-144.25,0.72552,5.8068e+07
-598.08,0,0,346.12,0,0,-179.42,0.65859,7.2226e+07
-443.25,-3.1412e-14,0,392.57,0,0,-132.98,0.74698,5.3529e+07
-538.41,-3.1412e-14,0,364.02,0,0,-161.52,0.69266,6.502e+07
-831.51,-1.5706e-14,0,276.09,0,0,-249.45,0.52534,1.0042e+08
-430.57,-1.5706e-14,0,396.37,0,0,-129.17,0.75421,5.1998e+07
-478.05,-1.5706e-14,0,382.13,0,0,-143.41,0.72711,5.7731e+07
-944.34,0,0,242.24,0,0,-283.3,0.46094,1.1404e+08
-704.7,0,0,314.13,0,0,-211.41,0.59773,8.5102e+07
-887.17,0,0,259.39,0,0,-266.15,0.49357,1.0714e+08
-609.91,-1.5706e-14,0,342.57,0,0,-182.97,0.65184,7.3656e+07
-514.52,-3.1412e-14,0,371.19,0,0,-154.36,0.70629,6.2136e+07
-777.34,0,0,292.34,0,0,-233.2,0.55627,9.3875e+07
-524.74,0,0,368.12,0,0,-157.42,0.70046,6.3369e+07
-781.36,-4.7118e-14,0,291.14,0,0,-234.41,0.55397,9.436e+07
-538.61,-1.5706e-14,0,363.96,0,0,-161.58,0.69254,6.5045e+07
-591.31,-3.1412e-14,0,348.15,0,0,-177.39,0.66246,7.1409e+07
-515.07,0,0,371.02,0,0,-154.52,0.70598,6.2202e+07
-491.71,-1.5706e-14,0,378.03,0,0,-147.51,0.71932,5.938e+07
-740.18,0,0,303.49,0,0,-222.05,0.57748,8.9387e+07
-487.14,-3.1412e-14,0,379.4,0,0,-146.14,0.72192,5.8829e+07
-529.16,-3.1412e-14,0,366.8,0,0,-158.75,0.69794,6.3904e+07
-645.6,-1.5706e-14,0,331.87,0,0,-193.68,0.63147,7.7965e+07
-598.39,-1.5706e-14,0,346.03,0,0,-179.52,0.65842,7.2263e+07
-431.21,0,0,396.18,0,0,-129.36,0.75385,5.2075e+07
-1030.9,-1.5706e-14,0,216.28,0,0,-309.27,0.41153,1.2449e+08
-612.95,-1.5706e-14,0,341.66,0,0,-183.89,0.6501,7.4023e+07
-553.2,-1.5706e-14,0,359.59,0,0,-165.96,0.68422,6.6806e+07
-782.71,0,0,290.73,0,0,-234.81,0.5532,9.4523e+07
-560.67,-1.5706e-14,0,357.35,0,0,-168.2,0.67995,6.7708e+07
-403.36,-1.5706e-14,0,404.54,0,0,-121.01,0.76975,4.8711e+07
-656.08,-1.5706e-14,0,328.72,0,0,-196.82,0.62549,7.9231e+07
-559.66,1.5706e-14,0,357.65,1.1869e-14,0,-167.9,0.68052,6.7587e+07
-678.96,-1.5706e-14,0,321.86,0,0,-203.69,0.61243,8.1993e+07
-632,-3.1412e-14,0,335.95,0,0,-189.6,0.63923,7.6322e+07
-854.59,0,0,269.17,0,0,-256.38,0.51217,1.032e+08
-764.07,0,0,296.33,0,0,-229.22,0.56384,9.2272e+07
-942.59,0,0,242.77,0,0,-282.78,0.46194,1.1383e+08
