% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
27.709,-922.46,-53.416,8.0357,153.22,-2.6708,-20.319,0.9067,3963.7
-58.611,-723.43,-227.35,-16.997,167.15,-11.368,-15.935,0.92683,3108.5
-76.319,-608.46,-301.08,-22.133,175.2,-15.054,-13.403,0.93846,2614.5
16.555,-758.02,-404.98,4.8008,164.73,-20.249,-16.697,0.92333,3257.1
-44.01,-636.91,122.02,-12.763,173.21,6.1008,-14.029,0.93558,2736.7
17.595,-671.53,-174.31,5.1024,170.78,-8.7155,-14.792,0.93208,2885.5
-5.9287,-430.28,-151.96,-1.7193,187.67,-7.5981,-9.4778,0.95648,1848.9
-42.704,-476.12,-232.32,-12.384,184.46,-11.616,-10.488,0.95185,2045.8
5.2155,-730.97,-491.31,1.5125,166.62,-24.565,-16.101,0.92607,3140.9
11.618,-594.35,-96.557,3.3694,176.19,-4.8279,-13.092,0.93989,2553.8
-35.799,-764.83,-184.02,-10.382,164.25,-9.2008,-16.847,0.92265,3286.4
95.568,-643.07,15.442,27.715,172.77,0.77208,-14.165,0.93496,2763.2
16.696,-985.28,-209.68,4.8418,148.82,-10.484,-21.703,0.90035,4233.7
2.2508,-754.92,-244.97,0.65273,164.95,-12.249,-16.629,0.92365,3243.8
-16.57,-576.08,-201.84,-4.8052,177.46,-10.092,-12.689,0.94174,2475.4
12.112,-533.83,-52.31,3.5125,180.42,-2.6155,-11.759,0.94601,2293.8
-15.585,-660.43,-88.287,-4.5197,171.56,-4.4143,-14.547,0.9332,2837.8
-42.481,-994.25,-574.79,-12.319,148.19,-28.739,-21.9,0.89944,4272.2
-54.221,-497.03,-183.3,-15.724,183,-9.165,-10.948,0.94973,2135.7
-7.0753,-586.86,24.577,-2.0518,176.71,1.2289,-12.927,0.94065,2521.7
0.047834,-569.45,-252.17,0.013872,177.93,-12.609,-12.543,0.94241,2446.9
-14.437,-653.92,-263.52,-4.1868,172.02,-13.176,-14.404,0.93386,2809.8
-41.534,-885.53,-308.15,-12.045,155.8,-15.407,-19.506,0.91044,3805
-18.328,-529.01,-54.799,-5.3152,180.76,-2.7399,-11.653,0.9465,2273.1
-1.4662,-590.5,229.55,-0.42519,176.45,11.478,-13.007,0.94028,2537.3
-13.607,-604.43,-128.42,-3.9462,175.48,-6.4209,-13.314,0.93887,2597.2
69.927,-652.09,-70.682,20.279,172.14,-3.5341,-14.364,0.93405,2802
-62.007,-682.06,-332.41,-17.982,170.05,-16.62,-15.024,0.93102,2930.7
38.603,-658.55,-1.8326,11.195,171.69,-0.091628,-14.506,0.93339,2829.7
8.8732,-785.99,-102.17,2.5732,162.77,-5.1087,-17.313,0.92051,3377.3
41.802,-698.25,-213.69,12.123,168.91,-10.685,-15.38,0.92938,3000.3
65.334,-547.05,40.316,18.947,179.5,2.0158,-12.05,0.94467,2350.6
14.117,-481.41,24.516,4.094,184.09,1.2258,-10.604,0.95131,2068.6
-14.332,-712.26,-479.44,-4.1561,167.93,-23.972,-15.689,0.92796,3060.5
-6.4003,-528.75,-172.79,-1.8561,180.78,-8.6395,-11.647,0.94652,2272
-161.98,-642.56,-439.83,-46.975,172.81,-21.992,-14.154,0.93501,2761
