Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
6,Australia,corn,0.560605778331679,-0.182196877957796,44132949.8369505,9113732.09135966,44531422.321904,0.125634895288243,-0.331198053578024
6,Brazil,corn,-0.0352009027871029,0.00880022569677574,-531197438.143247,6164227.11720612,2768267134.33786,-0.0154256779189576,0.0176778953658657
6,Canada,corn,2.36670013804631,-0.544341031750652,1106283190.36226,2211935482.6517,-Inf,-0.366223762679915,-0.79237490465394
6,China,corn,1.07243077859587,-0.107243077859587,84177245843.2975,12613516278.1761,29722105770.1065,0.68021809268841,-0.202985077970377
6,Egypt,corn,-0.594504959707704,0.199159161502081,-1958144208.64145,267384684.994684,-576217472.435141,-0.467771641088622,0.437982694614374
6,India,corn,0.0256106833141745,-0.00640267082854364,96692940.1598363,574791.507061453,444950855.143538,0.0151920915857192,-0.0127643474633487
6,Indonesia,corn,-0.337144871940576,0.132835079544587,-2339040042.1781,225210738.120688,-512885057.463144,-0.198380496731999,0.283315317446791
6,Mexico,corn,0.0879552166207381,-0.0118739542437997,469478214.476168,7490940.28693132,770412985.367636,0.0616132194250895,-0.0236069176982155
6,Pakistan,corn,-0.333645444871549,0.130121723499904,-333163591.632582,31642664.1400746,-70886744.5453513,-0.196630484576609,0.277175109926394
6,Russia,corn,1.57873912005327,-0.449940649215182,825451236.773381,1269650038.71054,-Inf,-0.422475110926101,-0.697434710614184
6,South Africa,corn,0.492880927421208,-0.0936473762100297,1034497332.68516,143097679.763422,931578715.005883,0.21053425661639,-0.178524921349037
6,Thailand,corn,-1,0.12,-1146423090.02,0,1146423090.02,-1,-1
6,Ukraine,corn,1.58730150389897,-0.555555526364641,1475602207.23764,3320104181.25794,-Inf,-0.589844497207202,-0.802469109854988
6,United States,corn,1.75832884497292,-0.301553396912856,47874705579.3739,30846491742.8464,40542594736.8985,0.270583700176378,-0.51217234263603
6,Vietnam,corn,-0.219694532325236,0.0351511251720377,-409739308.377967,10347442.9591874,-22736765.7310367,-0.183980189660313,0.0715378519449357
6,Argentina,soybean,1.74630168388258,-0.0436575420970646,19410356618.9929,8637646734.14134,12519669903.1849,0.690068133671226,-0.0854091032121721
6,Brazil,soybean,-0.0620647496509448,0.00248258998603777,-2337447307.87746,27209251.1514905,5443267987.89019,-0.0473362310179818,0.00497134322511433
6,Canada,soybean,1.70236325719121,-0.425590814297802,1288779034.26866,2070255495.68166,-Inf,-0.386261323253233,-0.670054087380938
6,China,soybean,0.519282271741159,-0.0129820567935291,4776864523.22111,677019566.744905,4986075072.47498,0.264786675132831,-0.0257955797884679
6,India,soybean,0.0270825616655639,-0.00203119212491735,85118302.8633503,504872.39235414,606943500.665658,0.0184324557667311,-0.00405825850838637
6,Japan,soybean,0.973166476899069,-0.0729874857674301,259359817.042508,75181810.842588,220515173.822062,0.360581124934166,-0.14064779845621
6,United States,soybean,0.643643585901597,-0.211758739761625,14326701345.0236,8492648200.10798,-Inf,-0.319450933111881,-0.378675715657819
6,China,sugarcane,-0.169518742989134,0.132851838880584,-8582699964.48838,557296417.071967,-4577338618.96892,-0.0473552263460386,0.283353288855121
7,Argentina,corn,0.26027828769373,-0.0910974006928056,1008533626.60898,168514687.943468,1294880871.06029,-0.0929773312554349,-0.173896064972625
7,Australia,corn,0.578442069455088,-0.187993672572903,45062698.6319896,9702884.4737722,45565886.9996738,0.124502622274238,-0.340645724218359
7,Brazil,corn,-0.139778504422094,0.0349446261055235,-2209173891.84644,97196764.1442558,1727772844.4216,-0.0697650637931525,0.0711103791047017
7,Canada,corn,2.25461018120031,-0.51856034167607,1209671271.13256,2007376847.50204,-Inf,-0.292478191065134,-0.768215855392938
7,China,corn,0.665406343087766,-0.0665406343087767,56490861634.5094,4855919804.15019,20794230565.6567,0.469846588174378,-0.128653612603339
7,Egypt,corn,-0.830806155773932,0.278320062184267,-2970031964.19691,522185701.499029,-933754874.251085,-0.756907924735128,0.634102181382789
7,India,corn,-0.0733651230786645,0.0183412807696661,-286811177.175993,4716798.36725959,271479786.039797,-0.0463999252719801,0.0370189641196039
7,Indonesia,corn,-0.479605768988197,0.18896467298135,-3541913643.91704,455748002.791308,-1077408066.36697,-0.32463147104363,0.413636993597647
7,Mexico,corn,0.557128072168204,-0.0752122897427076,2624423865.06164,300554485.586019,1679019828.52203,0.318316452576422,-0.144767690957074
7,Pakistan,corn,-0.404951614821053,0.157931129780211,-417352438.335431,46613199.3138238,-111424504.552086,-0.256449432993514,0.340804501314075
7,Russia,corn,1.59886469784031,-0.455676438884488,811730839.576848,1302227061.75462,-Inf,-0.434456691762794,-0.703711860814528
7,South Africa,corn,0.750924422377043,-0.142675640251638,1415817711.44149,332155175.926934,1235577240.48928,0.24640357299939,-0.264994942182062
7,Thailand,corn,-1,0.12,-1146423090.02,0,1146423090.02,-1,-1
7,Ukraine,corn,1.58613559893708,-0.555147459627979,1478309068.87315,3315228605.58081,-Inf,-0.589090982816776,-0.802106217324559
7,United States,corn,1.19896974618961,-0.205623311471517,42367840138.8971,14342406441.2097,29380999251.7779,0.390227967518571,-0.368965676722522
7,Vietnam,corn,-0.262612223558521,0.0420179557693632,-493809681.883566,14785105.1605486,-41138590.4918358,-0.222269089475986,0.0858014201457627
7,Argentina,soybean,0.792151310372221,-0.0198037827593055,11100819535.5625,1777350916.51334,7114570156.879,0.479489195317602,-0.0392153757070334
7,Brazil,soybean,-0.246451573586323,0.00985806294345297,-9636494620.9174,429032077.570804,2838395596.03112,-0.199463897625768,0.0198133072919029
7,Canada,soybean,1.62173714788092,-0.40543428697023,1362114616.33039,1878799351.53589,-Inf,-0.342432315642488,-0.646491612889402
7,China,soybean,0.322196755600392,-0.00805491889000976,3131700903.67539,260637291.731402,3996431215.68401,0.184774979819808,-0.0160449560616951
7,India,soybean,-0.0775815094624961,0.00581861320968708,-250385396.149673,4143034.90339472,462854854.475624,-0.055327280429247,0.0116710826790583
7,Japan,soybean,1.3743281004158,-0.103074607531185,315130263.170278,149940638.037197,284207612.490116,0.333337284118673,-0.195524840344662
7,United States,soybean,0.438887861637104,-0.144394106478607,12197477956.6421,3948747665.16697,-Inf,-0.198158279220635,-0.267938554971459
7,China,sugarcane,0.108126020056673,-0.0847383619184143,4369975549.4264,226731175.398611,6191535145.98901,0.00415475275727683,-0.162296133856212
8,Argentina,corn,0.197818389172357,-0.0692364362103249,807491934.671822,97340864.9052227,984143742.272726,-0.0573590769614463,-0.133679188321543
8,Australia,corn,0.673409986720009,-0.218858245684003,49520496.59592,13150438.1673364,51073812.1199916,0.113147796153827,-0.389817559664127
8,Brazil,corn,-0.243213990476482,0.0608034976191205,-4015800058.21254,294271453.741105,698642027.385418,-0.136039262825882,0.125304060560959
8,Canada,corn,-0.449743436936619,0.103440990495422,-991041434.640286,79875879.3017862,-181836153.049374,-0.362719515048599,0.217582019505519
8,China,corn,0.825733755629744,-0.0825733755629744,68018941241.936,7477866543.83168,24310931299.4597,0.559691992544542,-0.158328388774085
8,Egypt,corn,-0.593771808820152,0.198913555954751,-1955211471.64334,266725607.419089,-575108172.660792,-0.466965923082466,0.437393714652066
8,India,corn,-0.191906803167695,0.0479767007919239,-781004262.663249,32273699.606972,63716366.5958552,-0.130395186817632,0.0982551654027254
8,Indonesia,corn,-0.483328175066944,0.190431300976376,-3575052307.95559,462849930.090011,-1092158667.57393,-0.328268204328204,0.417126682344306
8,Mexico,corn,-0.415020100728104,0.0560277135982941,-2494246317.6968,166782850.836311,-203656187.384572,-0.348187839945704,0.115194531887641
8,Pakistan,corn,-1,0.39,-1013971480.305,0,1013971480.305,-1,-1
8,Russia,corn,1.6776524753025,-0.478130955461213,752146700.764333,1433729736.72274,-Inf,-0.480154037702183,-0.727652700352174
8,South Africa,corn,0.328902794676116,-0.0624915309884621,734938740.529386,63721162.9649589,738397675.605685,0.161186110725861,-0.121077870531642
8,Thailand,corn,-0.100467813019819,0.0120561375623782,-110787840.333754,1473759.86476219,51776890.7321436,-0.0814159901489726,0.0242576255776794
8,Ukraine,corn,1.58729771774995,-0.555554201212483,1475611006.49433,3320088342.56041,-Inf,-0.589842051370694,-0.802467931940126
8,United States,corn,0.0452432589549156,-0.00775921891076799,2355516906.53414,20422708.4339352,6359243855.30183,0.0307370591279902,-0.0154582323434309
8,Vietnam,corn,-0.141403758403999,0.0226246013446398,-259768183.31839,4286634.44783435,10831980.8787205,-0.116110271838744,0.0457610752752835
8,Argentina,soybean,0.602055967046303,-0.0150513991761575,8784571234.41373,1026669411.22389,6037712336.02558,0.389630299685664,-0.0298762537351552
8,Brazil,soybean,-0.428824667419061,0.0171529866967624,-17378025025.409,1298931032.11696,261971603.233719,-0.36685339618205,0.0346001983461442
8,Canada,soybean,-0.323499665164936,0.0808749162912341,-918413740.255527,74759629.9231513,-61146561.0086665,-0.216681178213418,0.168290584667582
8,China,soybean,0.399828976410191,-0.00999572441025482,3804240986.893,401368013.171756,4386253115.93255,0.219283109704574,-0.019891534314024
8,India,soybean,-0.202935929786529,0.0152201947339896,-675482021.291512,28347843.9234293,290282275.139141,-0.152634711203611,0.0306720437957197
8,Japan,soybean,0.969256159439048,-0.0726942119579285,258669260.123193,74578842.8635292,219894332.643856,0.36034137154593,-0.140103975463673
8,United States,soybean,0.0165614830893962,-0.00544872793641136,649278950.015114,5622774.85130914,14656238920.363,-0.00115832293461681,-0.0108677672366977
8,China,sugarcane,-0.0574812752110025,0.0450480753828627,-2673343387.34425,64077209.8644736,-231795291.543785,-0.0104690997308405,0.0921254798614255
9,Argentina,corn,0.461684651867213,-0.161589628153525,1480545208.71653,530215907.174208,2181334779.14762,-0.227547305912368,-0.297068048380255
