Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original
4,Argentina,soybean,0.245060869565218,-0.00612652173913036,3841423514.61128,170100203.429823,1388228187.80993,2453195326.80136,-4011523718.04114,0.177862769111531,-0.0122155092096409,328395947250,328395947250
4,Brazil,soybean,-0.171871052631579,0.00687484210526317,-6620250394.39631,208656561.937099,-2428059393.85702,-4192191000.53929,6411593832.45923,-0.135859495139088,0.0137969476644986,464711035250,464711035250
4,Canada,soybean,0.690859649122807,-0.172714912280702,1241168237.02032,340956620.112214,987050323.5936,254117913.426724,-1582124857.13254,0.120692805548228,-0.315599383637273,5013079680,5013079680
4,China,soybean,0.3032,-0.00758000000000022,2962277743.47265,230808937.792107,1522486397.04556,1439791346.42708,-3193086681.26486,0.175738632258064,-0.0151025436000005,211427079162,211427079162
4,India,soybean,0.0651747126436777,-0.00488810344827585,202835316.831157,2923885.70342357,89724544.5302995,113110772.300858,-205759202.53458,0.0435860221168176,-0.00975231334123059,21098502000,21098502000
4,Japan,soybean,0.327415730337078,-0.0245561797752808,106873078.742358,8510157.2147128,51983801.792,54889276.950358,-115383235.95707,0.188764974986891,-0.0485093535854057,2378577066.66667,2378577066.66667
4,United States,soybean,0.189748549323018,-0.0624272727272727,6550914129.96109,738089745.043463,7779661532.874,-1228747402.91291,-7289003875.00455,-0.047858726771686,-0.12095738107438,60260926702.1277,60260926702.1277
5,Argentina,corn,0.0194119047619047,-0.00679416666666665,90725407.445284,937342.22725814,96573956.9357096,-5848549.49042559,-91662749.6725416,-0.00189903180097679,-0.0135421726326388,6768688611.42857,6768688611.42857
5,Australia,corn,0.312174774774775,-0.101456801801802,28141490.1295126,2826029.76854559,18105433.2181996,10036056.911313,-30967519.8980582,0.108517983245508,-0.192620120971754,160769912,160769912
5,Brazil,corn,-0.0891005970149253,0.0222751492537313,-1377373865.45218,39494103.1402733,-886505914.963907,-490867950.488272,1337879762.3119,-0.0418418969032871,0.0450464807817386,29699984085.2,29699984085.2
5,Canada,corn,0.793370731707317,-0.182475268292683,1140296453.33504,248564059.353367,626602543.85352,513693909.481517,-1388860512.6884,0.293042696670088,-0.331653313046879,4187687739.13043,4187687739.13043
5,China,corn,0.792978260869565,-0.0792978260869565,65729465243.5527,6896364310.46676,17393577228.4712,48335888015.0815,-72625829554.0195,0.542073652090515,-0.152307506951796,476836834950,476836834950
5,Egypt,corn,-0.521292307692307,0.174632923076923,-1671593609.80164,205583472.375777,-788745467.148242,-882848142.653394,1466010137.42586,-0.390102075336602,0.379762503976237,3860334082.68657,3860334082.68657
5,India,corn,-0.0411480434782604,0.0102870108695651,-159069698.041873,1483769.33296939,-72118584.8728535,-86951113.1690192,157585928.708903,-0.0254983416808962,0.0206798443317608,7620266680,7620266680
5,Indonesia,corn,-0.149775964391691,0.0590117299703264,-951007760.187789,44446772.1339156,-593510077.727548,-357497682.46024,906560988.053872,-0.0707047682438878,0.121505844214743,7461048428.68021,7461048428.68021
5,Mexico,corn,-0.39674647887324,0.0535607746478874,-2374733044.69949,152419064.671104,-768344889.179477,-1606388155.52001,2222313980.02839,-0.330861103545311,0.109990305876657,20204634965.9259,20204634965.9259
5,Pakistan,corn,-0.0420911940298506,0.0164155656716419,-36511609.7788303,503599.318063631,-23928963.2746689,-12582646.5041614,36008010.4607668,-0.0172431144136345,0.0331006021396036,1087835511.53846,1087835511.53846
5,Russia,corn,0.937095798319327,-0.267072302521008,942973809.819785,447333342.763019,954722758.47423,-11748948.6544445,-1390307152.5828,-0.00812018601287263,-0.462816990268144,3004010617.19298,3004010617.19298
5,South Africa,corn,0.257074468085106,-0.0488441489361702,589711034.193476,38928391.3697972,302856924.375,286854109.818476,-628639425.563273,0.133070540672671,-0.0953025469870416,6596250000,6596250000
5,Thailand,corn,-0.152452962962963,0.0182943555555557,-169784323.692822,3393474.31677594,-44518312.4135193,-125266011.279302,166390849.376046,-0.12521387526121,0.0369233945563044,4506380070.83333,4506380070.83333
5,Ukraine,corn,0.810514285714286,-0.28368,2044046638.24607,865673661.194662,2136109570.06579,-92062931.819725,-2909720299.44073,-0.0255896324252493,-0.4868856576,5976188154.28572,5976188154.28572
5,United States,corn,0.234654425363276,-0.0402432339498018,11572530045.2137,549367640.320314,4682354824.28955,6890175220.92413,-12121897685.534,0.145784141711176,-0.0788669500208651,153700601865.889,153700601865.889
5,Vietnam,corn,0.0652899999999987,-0.0104463999999999,115120216.488628,913877.281689391,27994402.8699466,87125813.6186814,-116034093.770317,0.0507998366458323,-0.0207836727270395,5582944616.875,5582944616.875
5,Argentina,soybean,0.237594202898551,-0.00593985507246385,3729769563.67971,159892676.580064,1345930789.80412,2383838773.87559,-3889662240.25983,0.172834246341805,-0.0118444282666458,328395947250,328395947250
5,Brazil,soybean,-0.12136052631579,0.00485442105263163,-4626792649.15989,104035480.16861,-1714486305.00994,-2912306344.14995,4522757168.99133,-0.0943813079021628,0.00973240750901952,464711035250,464711035250
5,Canada,soybean,0.312228070175439,-0.0780570175438596,682427176.50891,69640737.4569778,446088895.3248,236338281.18411,-752067913.965887,0.112248404018086,-0.150021137099877,5013079680,5013079680
