Scenario,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
2,South Africa,corn,-1,0.12060051758056,-1665619087.5,0,1665619087.5,-1,-1
2,Thailand,corn,-1,0.0506005175805603,-680823901.1015,0,680823901.1015,-1,-1
2,Ukraine,corn,1.02038700184597,-0.57715421407806,2040477309.19574,996314758.782282,3651250098.56193,-0.393492150432854,-1.66358025946678
2,United States,corn,0.783153812760684,-0.354329642320429,31487393495.8025,2485270649.34301,25826610135.4484,0.0110530613255751,-0.978218514350413
2,Vietnam,corn,-1,0.0906005175805603,-1160359209.1713,0,1160359209.1713,-1,-1
2,Argentina,soybean,0.652550518273016,-0.351670974481853,15414229909.386,-6583515438.9865,200472245642.171,0.123909702334554,-0.344116198738759
2,Brazil,soybean,-0.807170548141555,-0.303070389599365,-51878791724.6649,26417987829.1155,501790900611.407,-0.839257869539033,-0.31914299118917
2,Canada,soybean,0.656139831219024,-0.499392169329784,2122086379.23207,-888106077.053591,19205097106.6836,-0.00428644962456293,-0.44073703762927
2,China,soybean,0.143608334672995,-0.338947419891852,2312755372.65667,-1051904727.70495,42838024855.26,-0.181882604863109,-0.337252193817555
2,India,soybean,-1,0.0285589994687494,514275986.25,0,-514275986.25,-1,-1
2,Japan,soybean,-0.234872756398192,-0.317741754795163,-135787632.191134,65301480.4000622,962823790.39284,-0.407948974242089,-0.326326248078734
2,United States,soybean,0.0255211860703258,-0.343753681742165,1560367259.87344,-722341277.617017,320483854202.135,-0.277164876132551,-0.339817858409053
2,China,sugarcane,0.104962849290623,-0.0822593849890616,4254348629.85123,213659411.125131,6068846764.24931,0.00432131355827767,-0.157752163559344
3,Argentina,corn,0.442330226894055,-0.394817551607603,1345962512.75292,336105685.671066,2778578490.47566,-0.533329700573734,-1.06885835303493
